iter	MAE	RMSE
0	292287.3478	530432.7735
1	276376.3043	507184.4552
2	262709.2391	485472.7124
3	251502.087	467712.3929
4	243103.6087	452413.7549
5	233642.6087	434399.588
6	224569.6522	418342.8662
7	215588.4348	402864.4668
8	209032.6957	389187.1429
9	201351.1304	375152.0512
10	194519.4783	363332.8037
11	186583.7391	350277.8349
12	180379.3261	339950.3652
13	175279.0435	329153.3832
14	170353.9783	319536.3888
15	164775.8696	310139.1961
16	161180.4457	301113.1989
17	157257.3478	293522.4074
18	153474.3913	285027.4715
19	149251.2609	276919.0459
20	146981.2174	271221.1491
21	143377.7174	263778.3833
22	139496.913	256921.7326
23	137984.8696	252484.0152
24	136228.3043	247606.662
25	132681.5	242669.7069
26	128820.1087	236498.2452
27	126720.8696	231631.5683
28	124545.4348	227577.4456
29	122315.3043	223181.8819
30	121368	219501.7768
31	119088.7935	215280.5611
32	116333	211378.4972
33	114875.5435	207395.683
34	113611.7174	204821.3693
35	112504.5435	202447.4903
36	111690.8261	199746.0796
37	110865.9783	196630.2886
38	109204.8913	194004.6775
39	106433.8696	190703.1841
40	105547.0435	188193.1082
41	103532.7174	185887.7252
42	102811.6957	184366.3633
43	101995.6087	182315.4614
44	101541.4022	180484.0969
45	100010.6957	178411.9497
46	99242.41304	176739.3152
47	97474.97826	174473.7685
48	96939.69565	172754.252
49	96051.19565	170899.7189
50	95657.56522	169937.452
51	94885.98913	167913.6528
52	94464.65217	166436.4011
53	93173.5	164903.6431
54	92060.91304	163430.0523
55	91581.78261	162058.1366
56	91165.06522	160710.3702
57	90162.82065	159596.0519
58	89464.36957	158653.4099
59	88837.41848	157638.0063
60	87734.82609	156316.4411
61	87414.15217	155027.3668
62	86584.88587	154218.8392
63	86212.13043	152853.2992
64	85500.65217	151728.8745
65	85215.96739	150625.1517
66	84863.65217	149839.3333
67	84559.19022	149105.5417
68	84244.74457	148015.8647
69	83721.88043	146629.7576
70	83309.9837	145688.8311
71	82926.67391	144959.352
72	82611.88043	144272.1145
73	81877.96739	143461.4796
74	81406.70652	142788.8648
75	81145.16304	141755.3424
76	80364.28261	140949.1296
77	79785.20652	140332.936
78	79536.55978	139377.8154
79	79262	138420.2985
80	79117.19565	137857.0981
81	78708.33152	136895.4699
82	78385.57065	136210.7552
83	78144.92935	135330.1899
84	77747.8587	134609.4176
85	77367.76087	133616.4815
86	76811.83696	132990.985
87	76443.00543	132486.0248
88	76174.53261	131790.0332
89	76002.90217	130970.6782
90	75562.26087	130044.2259
91	75445.81522	129365.5493
92	75312.45652	128747.2145
93	74790.6413	128189.0222
94	74613.05978	127503.6275
95	74090.14674	127084.6267
96	73939.64674	126390.1548
97	73756.1087	125695.524
98	73351.49457	125191.0331
99	73159.3587	124495.8456
100	73009.41304	124215.4849
101	72845.28261	123709.4671
102	72659.02174	123327.221
103	72292.19565	122847.9262
104	71986.99457	122591.7837
105	71769.55435	122242.701
106	71558.3587	121621.0406
107	71239.65761	120856.6578
108	70752.04348	119693.9301
109	70554.5163	119124.059
110	70360.21739	118537.2069
111	70036.61413	118137.5513
112	69820.20652	117501.478
113	69704.18478	116979.0178
114	69593.22826	116514.3036
115	69428.29348	116108.5809
116	69283.88043	115647.2308
117	69084.97826	115189.673
118	68921.13043	114593.0787
119	68630.03804	113923.4954
120	68527.67391	113564.014
121	68397.70652	113082.5205
122	68219.92935	112686.7255
123	68090.36957	112517.9988
124	67979.04348	112188.6356
125	67779.75	111809.5044
126	67616.79891	111365.3604
127	67373.71739	110877.7757
128	67226.79348	110431.5938
129	67126.31522	110052.6753
130	66830.83696	109485.1731
131	66674.71739	109108.798
132	66554.44565	108814.2722
133	66430.73913	108623.0688
134	66182.94565	108135.2567
135	65997.1413	107713.1317
136	65878.71196	107470.0406
137	65688.75	107169.4326
138	65562.17391	106949.5426
139	65190.75	106510.815
140	65073.86413	106213.5854
141	64807.16304	105747.1363
142	64624.1413	105413.87
143	64552.27174	105208.0412
144	64362.70652	104827.8787
145	64247.3913	104492.5123
146	64007.70652	103954.404
147	63629.90217	103303.4097
148	63490.31522	102918.7452
149	63218.47826	102321.2323
150	62965.66848	101935.8874
151	62856.8587	101644.8188
152	62749	101357.5214
153	62639.34783	100981.913
154	62546.25	100803.612
155	62423.32609	100449.3051
156	62292.76087	100040.5353
157	62129.09783	99772.97728
158	62051.72283	99635.51143
159	61933.33696	99287.71572
160	61702.60326	98998.60398
161	61539.19565	98564.3003
162	61318.36957	98173.25363
163	61065.78261	97722.99683
164	60801.70652	97500.1993
165	60658.30435	97349.32816
166	60573.48913	97184.94212
167	60426.25	96754.25161
168	60339.61957	96518.80128
169	60181.26087	96112.78523
170	60111	95859.9326
171	59982.54348	95507.90514
172	59844.75	95218.7368
173	59715.17391	94952.80626
174	59441.38043	94365.57332
175	59235.10326	94035.57756
176	58995.02174	93739.58787
177	58888.86957	93460.69955
178	58717.1087	92985.41669
179	58577.75	92803.46572
180	58456.75	92529.0466
181	58351	92252.87687
182	58198.8913	91912.37845
183	58111.52174	91770.23279
184	57904.92391	91480.39277
185	57682.24457	90948.77104
186	57580.33152	90745.94399
187	57496.71739	90426.8925
188	57434.42391	90218.6444
189	57368.8587	89998.21274
190	57280.59239	89724.51869
191	57214.96739	89531.62509
192	57075.43478	89298.50193
193	56985.93478	89037.55493
194	56883	88826.86766
195	56679.71739	88614.5822
196	56606.45652	88369.14172
197	56335.06522	87822.86501
198	56122.34783	87552.58581
199	55916.68478	87106.76519
200	55866	86988.90777
201	55801.00543	86810.72206
202	55678.6087	86583.11597
203	55575.26087	86349.21793
204	55450.3913	86035.20697
205	55294.03804	85653.94611
206	55154.64674	85298.26433
207	55085.88043	85086.18773
208	54968.09783	84850.50558
209	54797.80435	84632.39588
210	54531.30435	84302.52768
211	54372.01087	84105.47389
212	54304.94565	83973.0306
213	54149.02174	83715.42926
214	54054.57609	83467.86365
215	53920.96196	83159.63382
216	53824.20652	82978.92984
217	53682.21739	82551.72941
218	53578.77717	82333.22735
219	53480.13043	82072.15869
220	53395.625	81851.34514
221	53355.13043	81698.41336
222	53272.59783	81522.34791
223	53158.82609	81186.83658
224	53047.77174	80947.22429
225	52954.54348	80736.0091
226	52894.04891	80623.78857
227	52746.06522	80255.33874
228	52644.54891	80082.42516
229	52535.16304	79928.21656
230	52387.03261	79717.83114
231	52271.06522	79577.9112
232	52182.84783	79337.50256
233	52079.04348	79120.79293
234	51984.69565	78894.45046
235	51802.16848	78458.24846
236	51714.59783	78247.98921
237	51640.92935	78069.99109
238	51545.94565	77876.60465
239	51442.33696	77717.75815
240	51369.31522	77497.58549
241	51300.8913	77363.40128
242	51095.71739	77040.9068
243	50931.3587	76650.8697
244	50846.44565	76452.65685
245	50714.20652	76192.06106
246	50600.86413	76035.518
247	50502.25	75791.61766
248	50410.48913	75565.52438
249	50297.28804	75315.94067
250	50188.47283	75077.78442
251	50067.27174	74904.5733
252	49964.83152	74675.84447
253	49882.82609	74528.58334
254	49786.29348	74339.26557
255	49708.96739	74134.79082
256	49621.1087	73923.5643
257	49526.27174	73688.77217
258	49431.90761	73464.39106
259	49272.73913	73173.64783
260	49184.27717	73054.44505
261	49065.25543	72839.63832
262	49004.84783	72722.73121
263	48899.03261	72523.65139
264	48777.25543	72205.69959
265	48624.2663	72013.03998
266	48548.75	71889.44804
267	48465.63043	71728.99444
268	48358.49457	71562.41287
269	48278.70652	71417.47204
270	48198.39674	71203.02923
271	48090.93478	71043.73261
272	48006.91304	70871.28387
273	47908.63043	70680.49985
274	47861.42935	70530.48461
275	47815.03804	70460.4275
276	47721.26087	70343.36884
277	47642.52174	70249.29957
278	47578.97283	70117.26561
279	47454.7337	69968.79674
280	47331.31522	69668.9365
281	47280.10326	69520.42724
282	47156.72826	69304.91465
283	47083.78261	69112.30102
284	46986.11413	68928.58003
285	46943.21739	68811.36893
286	46882.375	68707.38033
287	46768.43478	68538.8438
288	46632.53261	68333.27215
289	46566.66304	68173.57595
290	46476.6413	68031.74216
291	46388.72283	67845.3655
292	46293.34783	67641.78294
293	46213.28804	67500.26961
294	46105.39674	67307.66167
295	45975.43478	67089.79784
296	45847.32609	66872.72089
297	45752.53804	66703.1424
298	45604.42935	66487.3396
299	45547.39402	66397.62133
300	45472.27446	66190.79946
301	45401.0163	66075.99811
302	45347.45109	65955.45117
303	45220.32065	65723.12416
304	45182.52174	65617.05314
305	45085.89674	65441.2059
306	45008.54348	65298.979
307	44947.63587	65153.79856
308	44878.27717	64999.36541
309	44806.77446	64851.96825
310	44758.86685	64709.39572
311	44711.84783	64571.89214
312	44629.08152	64393.86008
313	44576.99457	64197.57191
314	44483.91848	64075.38934
315	44439.03804	63987.93069
316	44355.52717	63901.19678
317	44210.99185	63663.79868
318	44074.26087	63534.97841
319	43980.22283	63362.00682
320	43913.91304	63264.82514
321	43804.6712	63025.66299
322	43717.40761	62883.34789
323	43682.88315	62791.24543
324	43586.75272	62614.5072
325	43511.52717	62503.10394
326	43446.38587	62320.60233
327	43393.20652	62237.61113
328	43316.75	62088.462
329	43188.58696	61927.89182
330	43124.71739	61767.11182
331	43072.83696	61591.10983
332	43017.02717	61486.6142
333	42964.4375	61382.78495
334	42912.15217	61261.93908
335	42839.03261	61122.17506
336	42743.16304	60978.76146
337	42710.49457	60888.75609
338	42622.0163	60763.11485
339	42551.52717	60652.52155
340	42514.1087	60564.85127
341	42454.53261	60457.59511
342	42387.66848	60369.35561
343	42309.5163	60187.59182
344	42229.47826	60024.30432
345	42149.01087	59890.06453
346	42077.75543	59760.29139
347	41979.5462	59569.36036
348	41911.32609	59442.01492
349	41851.97826	59359.28334
350	41773.18207	59208.68862
351	41726.11141	59120.39244
352	41703.72554	59068.23296
353	41646.57065	58996.51232
354	41556.10326	58806.78094
355	41498.53804	58675.36463
356	41402.70652	58486.31791
357	41358.45652	58356.61216
358	41297.73641	58204.36559
359	41241.77717	58133.58572
360	41185.18207	58005.93116
361	41121.34239	57893.63916
362	41070.13043	57811.1161
363	40987.1712	57640.05564
364	40930.86141	57552.243
365	40846.43478	57326.17735
366	40779.97283	57254.72865
367	40675.11685	57089.8592
368	40617.47826	56978.06846
369	40565.60326	56924.25884
370	40519.46739	56842.86618
371	40450.47554	56717.39012
372	40381.76902	56613.40176
373	40343.19565	56570.06933
374	40267.29348	56429.87859
375	40177.36957	56302.14421
376	40046.45652	56181.82576
377	39965.38315	56056.89691
378	39925.11957	55939.51476
379	39873.57065	55827.18777
380	39823.61957	55705.22327
381	39772.07065	55614.9449
382	39715.16304	55497.60671
383	39679.45652	55421.97566
384	39632.20109	55330.8457
385	39535.09511	55150.51392
386	39489.57065	55061.32489
387	39446.38043	54935.78648
388	39362.15761	54783.3531
389	39236.56793	54583.75757
390	39171.15217	54468.73611
391	39146.6712	54421.9209
392	39080.02989	54321.56064
393	39014.21739	54166.04752
394	38972.34239	54059.74079
395	38935.79891	54003.26741
396	38893.59239	53920.7006
397	38858.38043	53824.15385
398	38809.89674	53742.53629
399	38750.47283	53665.47881
